page,status,score,severity,category,check,message,evidence
404.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
404.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
404.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/almoco-morro-da-urca.html,WARN,96,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/almoco-morro-da-urca.html,WARN,96,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/almoco.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/almoco.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/almoco.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/cafe-da-manha-pao-de-acucar.html,WARN,96,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/cafe-da-manha-pao-de-acucar.html,WARN,96,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/cafe-da-manha.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/cafe-da-manha.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/cafe-da-manha.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/caipirinha-com-vista-rio.html,FAIL,86,FAIL,SEO_SCHEMA,restaurant_type_array,Restaurant misturado em @type array.,
_backups/fase1/_backups/fase1/caipirinha-com-vista-rio.html,FAIL,86,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/caipirinha-com-vista-rio.html,FAIL,86,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/cardapio.html,WARN,92,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/cardapio.html,WARN,92,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/cardapio.html,WARN,92,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/cardapio.html,WARN,92,WARN,PERFORMANCE,many_inline_styles,31 blocos style.,
_backups/fase1/_backups/fase1/como-chegar.html,WARN,96,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/como-chegar.html,WARN,96,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/en/almoco.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/en/almoco.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/en/almoco.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/en/cafe-da-manha.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/en/cafe-da-manha.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/en/cafe-da-manha.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/en/cardapio.html,FAIL,84,FAIL,SEO,meta_description,Página sem meta description.,
_backups/fase1/_backups/fase1/en/cardapio.html,FAIL,84,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/en/cardapio.html,FAIL,84,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/en/cardapio.html,FAIL,84,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
_backups/fase1/_backups/fase1/en/entardecer.html,WARN,94,WARN,VISUAL,low_opacity,Opacity baixa detectada; validar texto real.,
_backups/fase1/_backups/fase1/en/entardecer.html,WARN,94,WARN,VISUAL,light_bg_light_text,Risco de texto claro em fundo claro.,
_backups/fase1/_backups/fase1/en/entardecer.html,WARN,94,WARN,VISUAL,dark_bg_dark_text,Risco de texto escuro em fundo escuro.,
